V_DC_MAX_V,S_mrad_V,L_um
5.717884520914590212e+02,7.289208708858120644e+01,8.999999999999998579e+01
6.354151926099905268e+02,7.288122462783968558e+01,9.999999999999998579e+01
6.996335080976025438e+02,7.281072237594902674e+01,1.099999999999999858e+02
6.364895264466179015e+02,7.275820804638917139e+01,9.999999999999998579e+01
5.729076046102667306e+02,7.274969525749034460e+01,8.999999999999998579e+01
6.370114813573192123e+02,7.269859137526933068e+01,9.999999999999998579e+01
7.653098593914777439e+02,7.261347045188703930e+01,1.199999999999999858e+02
7.016091777827133456e+02,7.260569379094137332e+01,1.099999999999999858e+02
6.378389120283784450e+02,7.260428379523253284e+01,9.999999999999998579e+01
7.017247382512103968e+02,7.259373703990684135e+01,1.099999999999999858e+02
8.293412963152369457e+02,7.259108990158445351e+01,1.300000000000000000e+02
7.018397050245665696e+02,7.258184562416961683e+01,1.099999999999999858e+02
6.384889004460378601e+02,7.253037187052029822e+01,9.999999999999998579e+01
8.302823766487480270e+02,7.250881181280909971e+01,1.300000000000000000e+02
7.035358853537838968e+02,7.240685540495130113e+01,1.099999999999999858e+02
7.039339020803721496e+02,7.236591528332104417e+01,1.099999999999999858e+02
6.402981127819944049e+02,7.232543163893112137e+01,9.999999999999998579e+01
5.762747645422467713e+02,7.232462049453528152e+01,8.999999999999998579e+01
5.763165718200916672e+02,7.231937390671897958e+01,8.999999999999998579e+01
6.407642145921053043e+02,7.227282100020278222e+01,9.999999999999998579e+01
7.050776493184890796e+02,7.224852634634494564e+01,1.099999999999999858e+02
8.332806702275165662e+02,7.224791207922579872e+01,1.300000000000000000e+02
7.051110325038355313e+02,7.224510577024437907e+01,1.099999999999999858e+02
7.053795221299370724e+02,7.221760701131053395e+01,1.099999999999999858e+02
8.337401736695453565e+02,7.220809372174677776e+01,1.300000000000000000e+02
7.696409312764436663e+02,7.220484592639255084e+01,1.199999999999999858e+02
7.057375633908260397e+02,7.218096891180444175e+01,1.099999999999999858e+02
7.066110534530585028e+02,7.209174109868339997e+01,1.099999999999999858e+02
6.429103138186628712e+02,7.203156706179821356e+01,9.999999999999998579e+01
6.432689394064606176e+02,7.199140910997581955e+01,9.999999999999998579e+01
5.792184130873207550e+02,7.195705921008476480e+01,8.999999999999998579e+01
7.724171632647365868e+02,7.194532631379958332e+01,1.199999999999999858e+02
7.080671695493058451e+02,7.194348688053187857e+01,1.099999999999999858e+02
6.440846635159847438e+02,7.190023300935412465e+01,9.999999999999998579e+01
9.019183100109213456e+02,7.188430661484846951e+01,1.400000000000000000e+02
6.443118673916681018e+02,7.187487880989105804e+01,9.999999999999998579e+01
7.087853025391532356e+02,7.187059457993184708e+01,1.099999999999999858e+02
8.376904109150800650e+02,7.186758713657873443e+01,1.300000000000000000e+02
5.800982871294396546e+02,7.184791710442631540e+01,8.999999999999998579e+01
6.446230297939522416e+02,7.184018448635515597e+01,9.999999999999998579e+01
6.446319422665195589e+02,7.183919124721901994e+01,9.999999999999998579e+01
7.094712651020648764e+02,7.180110545516943432e+01,1.099999999999999858e+02
7.744904766107079013e+02,7.175272845787833376e+01,1.199999999999999858e+02
7.101013736837393253e+02,7.173739273132788696e+01,1.099999999999999858e+02
7.101018972423299829e+02,7.173733983930156910e+01,1.099999999999999858e+02
8.392906795507287825e+02,7.173055779928645848e+01,1.300000000000000000e+02
8.398094325896481678e+02,7.168624959864263246e+01,1.300000000000000000e+02
6.462245558142859636e+02,7.166214432411543100e+01,9.999999999999998579e+01
7.755420913528894289e+02,7.165543363935155696e+01,1.199999999999999858e+02
7.760140082626276126e+02,7.161185786565549449e+01,1.199999999999999858e+02
7.114314345497264185e+02,7.160327566246337483e+01,1.099999999999999858e+02
6.468267559607490966e+02,7.159542637621026984e+01,9.999999999999998579e+01
7.115200624158950404e+02,7.159435666513938656e+01,1.099999999999999858e+02
5.823931714513163342e+02,7.156480482460413839e+01,8.999999999999998579e+01
6.476235893126821566e+02,7.150733566345076042e+01,9.999999999999998579e+01
6.476700533656322705e+02,7.150220570474212423e+01,9.999999999999998579e+01
7.129567040708998320e+02,7.145009063262841664e+01,1.099999999999999858e+02
6.481871206078967589e+02,7.144516747126888845e+01,9.999999999999998579e+01
8.427423559381350060e+02,7.143676614295554828e+01,1.300000000000000000e+02
7.779279521713889380e+02,7.143567049666522450e+01,1.199999999999999858e+02
9.078675074509081924e+02,7.141325337263140227e+01,1.400000000000000000e+02
7.782530838821762700e+02,7.140582673216133003e+01,1.199999999999999858e+02
6.488868247901885979e+02,7.136812709908942054e+01,9.999999999999998579e+01
7.788875579525283683e+02,7.134766025476540108e+01,1.199999999999999858e+02
7.140086701805821576e+02,7.134482149932748030e+01,1.099999999999999858e+02
7.789294063235640806e+02,7.134382706611616243e+01,1.199999999999999858e+02
7.791398355849252084e+02,7.132455860088498412e+01,1.199999999999999858e+02
5.843807546426955923e+02,7.132140015729834204e+01,8.999999999999998579e+01
6.494672427989166863e+02,7.130434659795284347e+01,9.999999999999998579e+01
7.147193004605508122e+02,7.127388485266953921e+01,1.099999999999999858e+02
9.096538897152011032e+02,7.127301171511453504e+01,1.400000000000000000e+02
7.148430415069360606e+02,7.126154717211659317e+01,1.099999999999999858e+02
6.499871519791535093e+02,7.124731195615386525e+01,9.999999999999998579e+01
7.800429670640722861e+02,7.124197923432627988e+01,1.199999999999999858e+02
7.800968013381336732e+02,7.123706284417033885e+01,1.199999999999999858e+02
7.803743475490329047e+02,7.121172682828246536e+01,1.199999999999999858e+02
6.504127831359385254e+02,7.120068760221742821e+01,9.999999999999998579e+01
6.506963858745117477e+02,7.116965514156352413e+01,9.999999999999998579e+01
6.508202373373208047e+02,7.115611151554942637e+01,9.999999999999998579e+01
6.508413764513818478e+02,7.115380038842707222e+01,9.999999999999998579e+01
6.508663470450914019e+02,7.115107056125371798e+01,9.999999999999998579e+01
9.112992805482297172e+02,7.114432516545784324e+01,1.400000000000000000e+02
8.463774954002002460e+02,7.112994961125441762e+01,1.300000000000000000e+02
5.859977781177701672e+02,7.112459330471952512e+01,8.999999999999998579e+01
8.466596910399146054e+02,7.110624166596562645e+01,1.300000000000000000e+02
6.513833068064333247e+02,7.109460267195991889e+01,9.999999999999998579e+01
6.515274798250981121e+02,7.107887052896461455e+01,9.999999999999998579e+01
7.167440095250614149e+02,7.107254535236495485e+01,1.099999999999999858e+02
7.821055471023960308e+02,7.105409885832868611e+01,1.199999999999999858e+02
7.821300484066634908e+02,7.105187299052175831e+01,1.199999999999999858e+02
6.518968652258253087e+02,7.103859499080185458e+01,9.999999999999998579e+01
7.823164225568410757e+02,7.103494603863207146e+01,1.199999999999999858e+02
7.823732267652402470e+02,7.102978854635043149e+01,1.199999999999999858e+02
6.519954242503160913e+02,7.102785642675205224e+01,9.999999999999998579e+01
7.172246286280368395e+02,7.102491895802489807e+01,1.099999999999999858e+02
6.522236966253109358e+02,7.100299732156894095e+01,9.999999999999998579e+01
7.827740096208751766e+02,7.099342106207161862e+01,1.199999999999999858e+02
7.176475411770512665e+02,7.098306369092425427e+01,1.099999999999999858e+02
5.871935469771913176e+02,7.097975422355013109e+01,8.999999999999998579e+01
7.834700684670580131e+02,7.093034832867705575e+01,1.199999999999999858e+02
7.836059668955730331e+02,7.091804709147480423e+01,1.199999999999999858e+02
