t_s,uy_mass_m
2.592499999999999861e-04,-7.946061287170253834e-08
2.593000000000000144e-04,-7.948363818270549242e-08
2.593499999999999885e-04,-7.952609547251711196e-08
2.593999999999999626e-04,-7.957284725037430487e-08
2.594499999999999910e-04,-7.962880672656511792e-08
2.594999999999999651e-04,-7.969012278700176359e-08
2.595499999999999934e-04,-7.975448144653446010e-08
2.595999999999999675e-04,-7.982233942772405409e-08
2.596499999999999958e-04,-7.988996059670064127e-08
2.596999999999999699e-04,-7.995709275235627180e-08
2.597499999999999983e-04,-8.001961502707477708e-08
2.597999999999999724e-04,-8.007815238049437944e-08
2.598500000000000007e-04,-8.013165734746976860e-08
2.598999999999999748e-04,-8.017435748522523103e-08
2.599500000000000031e-04,-8.021027392718820371e-08
2.599999999999999772e-04,-8.023750868203965975e-08
2.600500000000000055e-04,-8.025062213997754179e-08
2.600999999999999797e-04,-8.025570775745058066e-08
2.601500000000000080e-04,-8.025035370627264544e-08
2.601999999999999821e-04,-8.022805849804267487e-08
2.602500000000000104e-04,-8.020298763817581093e-08
2.602999999999999845e-04,-8.016559605448452901e-08
2.603500000000000128e-04,-8.012020595568854166e-08
2.603999999999999869e-04,-8.006998840219948442e-08
2.604500000000000153e-04,-8.001094178954970345e-08
2.604999999999999894e-04,-7.994868259883479186e-08
2.605499999999999635e-04,-7.988316075398787296e-08
2.605999999999999918e-04,-7.981661657540320828e-08
2.606499999999999659e-04,-7.975085243383209387e-08
2.606999999999999942e-04,-7.968713141508526933e-08
2.607499999999999683e-04,-7.962904733330664713e-08
2.607999999999999967e-04,-7.957546162124044742e-08
2.608499999999999708e-04,-7.952876395383479972e-08
2.608999999999999991e-04,-7.949272662273226463e-08
2.609499999999999732e-04,-7.946378326533891694e-08
2.610000000000000015e-04,-7.944495648666283962e-08
2.610499999999999756e-04,-7.943926152262620528e-08
2.611000000000000040e-04,-7.944384585862881516e-08
2.611499999999999781e-04,-7.946421180017872468e-08
2.612000000000000064e-04,-7.948457774172896508e-08
2.612499999999999805e-04,-7.951210995450405339e-08
2.613000000000000088e-04,-7.955507239017836504e-08
2.613499999999999829e-04,-7.960372813082772805e-08
2.614000000000000113e-04,-7.965904160325257889e-08
2.614499999999999854e-04,-7.972020833051839895e-08
2.615000000000000137e-04,-7.978327110222592899e-08
2.615499999999999878e-04,-7.984885917331738746e-08
