t_s,uy_mass_m
3.059999999999999840e-05,-1.360476585208022396e-12
3.079999999999999649e-05,-1.369007418571117714e-12
3.100000000000000135e-05,-1.449075775150076438e-12
3.119999999999999944e-05,-1.585000161004740084e-12
3.139999999999999752e-05,-1.720924546859395651e-12
3.159999999999999561e-05,-1.856848932714056469e-12
3.180000000000000047e-05,-1.992773318568716883e-12
3.199999999999999855e-05,-1.922296346653787761e-12
3.219999999999999664e-05,-1.831217244511559674e-12
3.240000000000000150e-05,-1.740138142369324924e-12
3.259999999999999958e-05,-1.649059040227098655e-12
3.279999999999999767e-05,-1.562607742791595799e-12
3.299999999999999575e-05,-1.489539953075514572e-12
3.320000000000000062e-05,-1.416472163359428699e-12
3.339999999999999870e-05,-1.343404373643343836e-12
3.359999999999999679e-05,-1.270336583927262406e-12
3.380000000000000165e-05,-1.320546360716994805e-12
3.399999999999999973e-05,-1.451366333834527648e-12
3.419999999999999782e-05,-1.582186306952061300e-12
3.439999999999999590e-05,-1.713006280069590711e-12
3.460000000000000076e-05,-1.843826253187124564e-12
3.479999999999999885e-05,-1.839891222043873029e-12
3.499999999999999693e-05,-1.829210889403083434e-12
3.520000000000000180e-05,-1.818530556762295859e-12
3.539999999999999988e-05,-1.807850224121515958e-12
3.559999999999999797e-05,-1.765172961554914175e-12
3.579999999999999605e-05,-1.647845367426242271e-12
3.600000000000000091e-05,-1.530517773297563499e-12
3.619999999999999900e-05,-1.413190179168889979e-12
3.639999999999999708e-05,-1.295862585040214035e-12
3.659999999999999517e-05,-1.307469437314381923e-12
3.680000000000000003e-05,-1.389200315079659631e-12
3.699999999999999811e-05,-1.470931192844930676e-12
3.719999999999999620e-05,-1.552662070610202730e-12
3.740000000000000106e-05,-1.634392948375480237e-12
3.759999999999999915e-05,-1.695669414895564377e-12
3.779999999999999723e-05,-1.756851710219715396e-12
3.799999999999999532e-05,-1.818034005543856923e-12
3.820000000000000018e-05,-1.879216300868011779e-12
3.839999999999999826e-05,-1.880043991858570970e-12
3.859999999999999635e-05,-1.765323197809814382e-12
3.880000000000000121e-05,-1.650602403761056784e-12
3.899999999999999929e-05,-1.535881609712305447e-12
3.919999999999999738e-05,-1.421160815663549263e-12
3.939999999999999546e-05,-1.394054052194510587e-12
3.960000000000000033e-05,-1.406161506636978556e-12
3.979999999999999841e-05,-1.418268961079447535e-12
3.999999999999999650e-05,-1.430376415521917120e-12
4.020000000000000136e-05,-1.445914858372216298e-12
4.039999999999999944e-05,-1.547129266461410232e-12
4.059999999999999753e-05,-1.648343674550608003e-12
4.079999999999999561e-05,-1.749558082639808602e-12
4.100000000000000047e-05,-1.850772490729005363e-12
4.119999999999999856e-05,-1.884610477721549278e-12
4.139999999999999664e-05,-1.811364890000823529e-12
4.159999999999999473e-05,-1.738119302280096165e-12
4.179999999999999959e-05,-1.664873714559369003e-12
4.199999999999999768e-05,-1.591628126838643457e-12
4.219999999999999576e-05,-1.534629273748141590e-12
4.240000000000000062e-05,-1.483521353498344009e-12
4.259999999999999871e-05,-1.432413433248556928e-12
4.279999999999999679e-05,-1.381305512998762780e-12
4.299999999999999488e-05,-1.342570587508941204e-12
4.319999999999999974e-05,-1.443108903153134814e-12
4.339999999999999782e-05,-1.543647218797316913e-12
4.359999999999999591e-05,-1.644185534441503859e-12
4.380000000000000077e-05,-1.744723850085695449e-12
4.399999999999999886e-05,-1.796527026478387354e-12
4.419999999999999694e-05,-1.783539527287143307e-12
4.439999999999999503e-05,-1.770552028095896635e-12
