t_s,uy_mass_m
2.139999999999999840e-05,-4.013083404126328664e-08
2.149999999999999744e-05,-3.562075234616691265e-08
2.159999999999999987e-05,-3.030809391378272586e-08
2.169999999999999891e-05,-2.470777236347259969e-08
2.179999999999999795e-05,-1.936008313266684238e-08
2.190000000000000039e-05,-1.477906286155352166e-08
2.199999999999999943e-05,-1.140312735786112385e-08
2.209999999999999847e-05,-9.553156946534307603e-09
2.219999999999999751e-05,-9.402234184788307977e-09
2.229999999999999994e-05,-1.096876012312481352e-08
2.239999999999999899e-05,-1.407188593660570365e-08
2.249999999999999803e-05,-1.841460364374331504e-08
2.260000000000000046e-05,-2.359087268268787747e-08
2.269999999999999950e-05,-2.908623203263221001e-08
2.279999999999999854e-05,-3.436914803293265003e-08
2.289999999999999759e-05,-3.893438145093393300e-08
2.300000000000000002e-05,-4.234845077919924766e-08
2.309999999999999906e-05,-4.428219756659563034e-08
2.319999999999999810e-05,-4.451318890278160189e-08
2.330000000000000053e-05,-4.313223678378450854e-08
2.339999999999999958e-05,-4.019496092749735568e-08
2.349999999999999862e-05,-3.600574582744927392e-08
2.359999999999999766e-05,-3.097512185399533304e-08
2.370000000000000009e-05,-2.558907741395362362e-08
2.379999999999999913e-05,-2.037196686252389057e-08
2.389999999999999818e-05,-1.582527490666634554e-08
2.400000000000000061e-05,-1.238403798814501533e-08
2.409999999999999965e-05,-1.037527725871031620e-08
2.419999999999999869e-05,-1.000692146687782348e-08
2.429999999999999774e-05,-1.124616242901046889e-08
2.440000000000000017e-05,-1.402870505986942495e-08
2.449999999999999921e-05,-1.806805420526096213e-08
2.459999999999999825e-05,-2.295922183679817697e-08
2.469999999999999729e-05,-2.823482172051177511e-08
2.479999999999999972e-05,-3.338374363588551102e-08
2.489999999999999877e-05,-3.791110270802400840e-08
2.499999999999999781e-05,-4.138352151474110615e-08
2.510000000000000024e-05,-4.347052224593026480e-08
2.519999999999999928e-05,-4.396818797117889738e-08
2.529999999999999833e-05,-4.284211403851289142e-08
