t_s,uy_mass_m
7.640000000000000035e-05,-1.839828640892068438e-12
7.659999999999999166e-05,-1.614637020914307945e-12
7.679999999999999652e-05,-1.386669414284927173e-12
7.700000000000000139e-05,-1.158701807655538726e-12
7.719999999999999269e-05,-1.182307752559584745e-12
7.739999999999999756e-05,-1.205913697463672970e-12
7.760000000000000242e-05,-1.452040384877784509e-12
7.779999999999999373e-05,-1.698167072291925129e-12
7.799999999999999859e-05,-1.889852873512896183e-12
7.819999999999998990e-05,-2.081538674733838559e-12
7.839999999999999476e-05,-2.005513251923884237e-12
7.859999999999999962e-05,-1.929487829113868521e-12
7.879999999999999093e-05,-1.673467301381668286e-12
7.899999999999999579e-05,-1.417446773649418976e-12
7.920000000000000065e-05,-1.268962553711280048e-12
7.939999999999999196e-05,-1.120478333773155660e-12
7.959999999999999682e-05,-1.244041425981112576e-12
7.980000000000000168e-05,-1.367604518189099381e-12
7.999999999999999299e-05,-1.622413159630078648e-12
8.019999999999999785e-05,-1.877221801071076696e-12
8.040000000000000271e-05,-1.977627452433607436e-12
8.059999999999999402e-05,-2.078033103796127271e-12
8.079999999999999888e-05,-1.913660805826324399e-12
8.099999999999999019e-05,-1.749288507856507996e-12
8.119999999999999505e-05,-1.506391922286556893e-12
8.139999999999999992e-05,-1.263495336716603568e-12
8.159999999999999123e-05,-1.213862317591178290e-12
8.179999999999999609e-05,-1.164229298465753415e-12
8.200000000000000095e-05,-1.361178111000915462e-12
8.219999999999999226e-05,-1.558126923536066806e-12
8.239999999999999712e-05,-1.779255154715173103e-12
8.260000000000000198e-05,-2.000383385894263849e-12
8.279999999999999329e-05,-1.998775971047934789e-12
8.299999999999999815e-05,-1.997168556201615019e-12
8.319999999999998946e-05,-1.776985493396142098e-12
8.339999999999999432e-05,-1.556802430590660292e-12
8.359999999999999918e-05,-1.366066136772120891e-12
8.379999999999999049e-05,-1.175329842953592598e-12
8.399999999999999535e-05,-1.226471118287821681e-12
8.420000000000000021e-05,-1.277612393622036224e-12
8.439999999999999152e-05,-1.511006745316492853e-12
8.459999999999999638e-05,-1.744401097010944030e-12
8.480000000000000124e-05,-1.897678892130153790e-12
8.499999999999999255e-05,-2.050956687249367590e-12
8.519999999999999742e-05,-1.954020823033709147e-12
8.540000000000000228e-05,-1.857084958818093518e-12
8.559999999999999359e-05,-1.620738919637540362e-12
8.579999999999999845e-05,-1.384392880456992456e-12
8.599999999999998976e-05,-1.273835021136009853e-12
8.619999999999999462e-05,-1.163277161814994534e-12
8.639999999999999948e-05,-1.300458262362344808e-12
8.659999999999999079e-05,-1.437639362909633488e-12
8.679999999999999565e-05,-1.666880858150883617e-12
8.700000000000000051e-05,-1.896122353392113753e-12
8.719999999999999182e-05,-1.960667889504411254e-12
8.739999999999999668e-05,-2.025213425616769744e-12
8.760000000000000154e-05,-1.854854887984482988e-12
